,CAISO 24H EV Load,PNW 24H EV Load
Hour 1,1380.5798390789446,372.2823711311823
Hour 2,880.119647412827,237.33001159612868
Hour 3,642.8324875711335,173.34397905795672
Hour 4,390.0138045398018,105.16976984455899
Hour 5,168.68959908745853,45.488252222591335
Hour 6,62.55752395826466,16.869044941881693
Hour 7,61.26323035912815,16.52003021894621
Hour 8,60.40036795970382,16.287353736989225
Hour 9,59.537505560279484,16.054677255032235
Hour 10,0.0,0.0
Hour 11,0.0,0.0
Hour 12,56.51748716229429,15.240309568182774
Hour 13,103.54348793092083,27.92117783483867
Hour 14,169.55246148688283,45.720928704548314
Hour 15,388.28807974095315,104.70441688064501
Hour 16,858.1166562275064,231.39676130622547
Hour 17,1604.924062929273,432.7782564399994
Hour 18,1948.774729099872,525.4998344998594
Hour 19,2446.6463335677167,659.7541645890421
Hour 20,2618.7873822528727,706.1731227394613
Hour 21,2569.604225485685,692.9105632679131
Hour 22,2434.1348287760643,656.3803556006658
Hour 23,2203.319136930053,594.1393966771711
Hour 24,1790.0080476057938,482.68736181977346
