,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
0,2886.5,2932.0,3246.0,3530.0,3578.5,3655.0,3683.5,2086.5,2676.0,2312.0
1,2906.5,2937.0,3242.5,3542.5,3616.5,3694.0,3657.0,2074.0,2660.5,2291.5
2,2952.5,2986.0,3254.5,3622.0,3666.0,3781.5,3783.0,2064.0,2662.0,2359.0
3,2905.0,2970.5,3270.0,3659.0,3686.5,3766.5,3809.0,2128.0,2663.0,2362.0
4,2986.5,2998.5,3322.5,3650.0,3725.5,3781.5,3797.0,2233.0,2740.5,2447.0
5,2955.5,3017.5,3308.0,3641.0,3739.0,3796.5,3823.0,2166.0,2768.0,2445.0
6,2899.0,2957.5,3299.0,3580.5,3610.5,3731.0,3748.5,2115.5,2673.5,2399.5
7,2938.0,2986.5,3328.5,3615.5,3655.0,3800.0,3836.0,2130.0,2770.5,2411.5
8,3045.0,3086.0,3357.5,3684.5,3799.0,3793.0,3770.0,2134.5,2762.5,2406.5
9,3046.5,3076.5,3317.5,3693.0,3761.0,3822.0,3852.0,2162.0,2799.0,2448.0
10,3012.5,3136.0,3350.5,3703.0,3767.5,3874.5,3887.5,2253.5,2796.0,2450.5
11,3117.5,3212.5,3486.0,3776.5,3854.5,3942.0,3958.0,2350.5,2879.0,2531.5
12,3124.0,3183.0,3511.0,3844.0,3910.5,3984.0,3988.5,2359.5,2874.5,2587.0
13,3185.0,3204.0,3491.0,3875.0,3938.5,3997.5,4007.5,2343.0,2866.5,2578.5
14,3203.0,3234.0,3523.5,3870.0,3921.5,3996.5,3965.5,2381.5,2947.0,2602.0
15,3250.0,3324.0,3590.0,3896.5,3948.5,4057.0,3997.5,2441.5,3006.5,2619.0
16,3301.0,3299.5,3576.5,3976.5,3995.5,4123.5,4127.0,2446.5,3014.5,2654.0
17,3343.0,3336.0,3592.0,3980.5,3999.0,4072.5,4079.0,2492.0,3087.0,2710.0
18,3354.5,3352.0,3638.5,4037.5,4090.0,4129.0,4108.5,2508.5,3134.5,2762.5
19,3413.0,3380.5,3653.5,4053.5,4109.5,4135.0,4158.5,2522.0,3180.0,2731.5
20,3394.0,3386.5,3648.5,4094.0,4175.5,4241.5,4186.5,2622.5,3204.0,2836.0
21,3409.0,3404.0,3727.0,4104.0,4094.5,4221.5,4272.0,2510.5,3171.0,2815.5
22,3348.5,3452.5,3765.0,4130.5,4177.0,4263.5,4224.0,2553.5,3140.5,2849.5
23,3485.0,3441.5,3767.0,4090.5,4151.5,4240.5,4287.5,2540.5,3216.5,2894.0
24,3452.5,3483.5,3830.5,4135.0,4153.5,4303.5,4330.0,2608.5,3184.0,2940.0
25,3550.5,3521.5,3788.0,4195.0,4228.5,4391.0,4363.0,2763.5,3333.0,3082.5
26,3584.5,3641.5,3837.0,4274.0,4311.5,4390.5,4365.5,2769.5,3337.0,3034.5
27,3609.5,3626.0,3999.5,4355.0,4394.5,4468.0,4460.0,2784.0,3430.0,3122.5
28,3716.5,3689.5,3996.0,4269.5,4325.5,4394.0,4415.5,2803.0,3438.5,3133.0
29,3792.5,3728.0,4005.5,4450.5,4463.5,4593.5,4486.5,2830.5,3466.5,3103.0
30,3784.0,3785.0,4097.5,4363.0,4390.5,4501.5,4542.5,2902.5,3488.0,3151.5
31,3833.0,3839.5,4106.0,4446.5,4435.0,4576.5,4599.5,2964.5,3545.0,3368.5
