,index,PNW
0,10585,191061.27049787677
1,10586,233827.66429038098
2,10587,264689.11960747046
3,10588,249665.37961354086
4,10589,245143.78547566416
5,10590,265901.9450102609
6,10591,268137.1608973339
7,10592,248439.64018907156
8,10593,233755.84468012795
9,10594,229537.44175979999
10,10595,235787.4021902034
11,10596,230172.1127510403
12,10597,231693.88311080376
13,10598,235826.68911894129
14,10599,243132.81973758075
15,10600,235402.07626945115
16,10601,231830.54232296444
17,10602,234162.3201945671
18,10603,236582.49127242397
19,10604,237167.2583502402
20,10605,238934.75538893585
21,10606,257113.53722684446
22,10607,250673.5964754147
23,10608,260717.15340200023
24,10609,259641.27950492178
25,10610,246829.69501358192
26,10611,253329.2084554097
27,10612,279331.59878735524
28,10613,307109.2802429845
29,10614,324078.18182743865
30,10615,332856.9389560614
31,10616,341901.24749142415
32,10617,340634.3992854275
33,10618,330371.7656090498
34,10619,319187.86293909757
35,10620,312604.1075647295
36,10621,330761.2647650385
37,10622,336251.7574163062
38,10623,314379.85294213856
39,10624,319019.649465989
40,10625,318954.2588228381
41,10626,313823.8397667061
42,10627,305201.2488974594
43,10628,301810.9140780865
44,10629,339399.5683802317
45,10630,370799.6427589494
46,10631,368181.92134371906
47,10632,377901.97340415505
48,10633,378908.52161516953
49,10634,382238.13733937644
50,10635,383514.97090452584
51,10636,382463.45289560285
52,10637,385090.5507336678
53,10638,381894.15917027043
54,10639,379530.4519909773
55,10640,371826.2063356729
56,10641,375065.61097154964
57,10642,384484.98578541423
58,10643,394291.286162124
59,10644,383055.1789141727
60,10645,316845.84205289604
61,10646,308729.6294751908
62,10647,303179.06996321364
63,10648,293294.87070188485
64,10649,276122.7377321904
65,10650,273638.4327513541
66,10651,278712.7690851747
67,10652,280937.4012452713
68,10653,278876.6089351175
69,10654,285055.031022156
70,10655,293331.02224718395
71,10656,298376.90306981816
72,10657,300498.95524782315
73,10658,304084.99367608584
74,10659,291753.81550410023
75,10660,288721.8760007645
76,10661,267613.7982808788
77,10662,258438.8384592843
78,10663,251483.49872476642
79,10664,247643.00501349242
80,10665,259917.08505232522
81,10666,270696.3221931419
82,10667,261910.8895158447
83,10668,244719.3969459438
84,10669,235622.88357217255
85,10670,235825.96890598309
86,10671,243488.31393694883
87,10672,235476.86349337874
88,10673,238178.02514537776
89,10674,231235.5026148298
90,10675,200776.58796240314
91,10676,146107.46582317253
92,10677,153962.62183384722
93,10678,159222.02224719222
94,10679,176051.59662652735
95,10680,202388.03478781937
96,10681,196949.116570497
97,10682,179661.02470735752
98,10683,196294.7286762794
99,10684,216381.54680837406
100,10685,215460.140021195
101,10686,226049.6266176106
102,10687,270068.4677505306
103,10688,277340.2727348113
104,10689,297951.1065194015
105,10690,313689.3093874983
106,10691,320356.21448105294
107,10692,322438.1720326254
108,10693,323068.29137419374
109,10694,365378.4572509185
110,10695,371153.51830175665
111,10696,407298.79491627845
112,10697,429764.97080625617
113,10698,432280.71211732004
114,10699,427728.59773790766
115,10700,435497.03377642005
116,10701,422882.17621498066
117,10702,434622.04682692105
118,10703,429487.2734591288
119,10704,426241.34764129785
120,10705,377340.58832733514
121,10706,387443.1616635693
122,10707,361300.18606923625
123,10708,343524.70604269335
124,10709,260776.68751326573
125,10710,251851.5453899008
126,10711,153181.10399102335
127,10712,166947.7708708762
128,10713,112996.77174018492
129,10714,112658.28774661146
130,10715,121007.120780685
131,10716,134656.6096735867
132,10717,198519.97246103757
133,10718,273422.8071192286
134,10719,307539.9618380044
135,10720,344022.47308197874
136,10721,341915.00742486445
137,10722,336619.1378200665
138,10723,310180.8052396156
139,10724,327508.8072628276
140,10725,335248.0839788138
141,10726,391983.8986974295
142,10727,373691.5386891392
143,10728,389674.92567405663
144,10729,377418.7711688466
145,10730,383324.9358552081
146,10731,379468.6333269534
147,10732,394341.01974023343
148,10733,411603.80072107917
149,10734,418529.86480892566
150,10735,422434.42608176416
151,10736,430478.3347963966
152,10737,427153.4275734555
153,10738,432152.16552874236
154,10739,434656.4277866866
155,10740,434289.88806138054
156,10741,439390.38858246093
157,10742,438694.8785740334
158,10743,439543.1130192274
159,10744,433266.27431426087
160,10745,440127.51990332943
161,10746,441278.4909281351
162,10747,438541.50469221367
163,10748,439735.6107208518
164,10749,443121.34027016175
165,10750,445858.53895421705
166,10751,447708.0832764013
167,10752,448020.5864120339
168,10753,447619.5216585591
169,10754,448629.2866602456
170,10755,450191.4404005089
171,10756,452862.5758729923
172,10757,454271.4177175632
173,10758,448069.489184264
174,10759,447740.22881029354
175,10760,447790.41810298746
176,10761,437097.27880739834
177,10762,431925.75046059594
178,10763,425295.074393441
179,10764,404904.7093302202
180,10765,373908.19656922563
181,10766,363707.59305638017
182,10767,309746.9094160065
183,10768,281399.0396669835
184,10769,299669.00389598176
185,10770,276301.1889834909
186,10771,307356.06997845776
187,10772,304913.4178190391
188,10773,312829.5619415965
189,10774,316557.3751948624
190,10775,283198.2454898638
191,10776,260859.20105967615
192,10777,263928.7739575505
193,10778,249708.94848515536
194,10779,234670.0821088262
195,10780,226653.29539334564
196,10781,228209.57188671056
197,10782,223325.96647794865
198,10783,203522.0267175121
199,10784,189600.54784571953
200,10785,205747.68175185745
201,10786,189519.9288824087
202,10787,203406.66177834614
203,10788,208722.62365529232
204,10789,180536.41207200754
205,10790,159182.6126929946
206,10791,154485.198893922
207,10792,159004.22353130934
208,10793,160846.2175396071
209,10794,154522.59655127587
210,10795,142727.14580543013
211,10796,138775.93347226607
212,10797,131935.9476411252
213,10798,132236.71309521055
214,10799,150644.44474578093
215,10800,177406.97476778194
216,10801,190320.62442685833
217,10802,199832.59111211787
218,10803,180380.15709905172
219,10804,149914.77523999056
220,10805,156581.4041049832
221,10806,147617.98216839344
222,10807,131350.36859840725
223,10808,136204.3208147174
224,10809,138225.30906786167
