Scenario,State,Energy,Type,Year,Capacity
MID,CA,Land-based Wind,WIND,2020,5.5455001
MID,CA,Land-based Wind,WIND,2022,5.545821150000001
MID,CA,Land-based Wind,WIND,2024,5.817391399999999
MID,CA,Land-based Wind,WIND,2026,6.360579650000001
MID,CA,Land-based Wind,WIND,2028,8.542555299999998
MID,CA,Land-based Wind,WIND,2030,10.354883809999999
MID,CA,Land-based Wind,WIND,2032,10.354883809999999
MID,CA,Land-based Wind,WIND,2034,11.273205431831197
MID,CA,Land-based Wind,WIND,2036,13.92170821
MID,CA,Land-based Wind,WIND,2038,14.95492001
MID,CA,Land-based Wind,WIND,2040,16.72519541
MID,CA,Land-based Wind,WIND,2042,15.220486791781928
MID,CA,Land-based Wind,WIND,2044,17.94503011
MID,CA,Land-based Wind,WIND,2046,18.87334581
MID,CA,Land-based Wind,WIND,2048,18.57134581
MID,CA,Land-based Wind,WIND,2050,18.76487081
MID,CA,Offshore Wind,WIND,2020,0.0
MID,CA,Offshore Wind,WIND,2022,0.0
MID,CA,Offshore Wind,WIND,2024,0.0
MID,CA,Offshore Wind,WIND,2026,0.0
MID,CA,Offshore Wind,WIND,2028,0.0
MID,CA,Offshore Wind,WIND,2030,0.0
MID,CA,Offshore Wind,WIND,2032,0.0
MID,CA,Offshore Wind,WIND,2034,0.0
MID,CA,Offshore Wind,WIND,2036,0.0
MID,CA,Offshore Wind,WIND,2038,0.0
MID,CA,Offshore Wind,WIND,2040,0.6696
MID,CA,Offshore Wind,WIND,2042,0.8927999999999999
MID,CA,Offshore Wind,WIND,2044,3.186
MID,CA,Offshore Wind,WIND,2046,4.3989205396575795
MID,CA,Offshore Wind,WIND,2048,4.3989205396575795
MID,CA,Offshore Wind,WIND,2050,5.866388595295465
MID,CA,CSP,SOLAR,2020,0.0
MID,CA,CSP,SOLAR,2022,0.0
MID,CA,CSP,SOLAR,2024,0.0
MID,CA,CSP,SOLAR,2026,0.0
MID,CA,CSP,SOLAR,2028,0.0
MID,CA,CSP,SOLAR,2030,1.0576317882945698
MID,CA,CSP,SOLAR,2032,2.0991529458152
MID,CA,CSP,SOLAR,2034,3.06417980171825
MID,CA,CSP,SOLAR,2036,3.798774474956526
MID,CA,CSP,SOLAR,2038,4.73033077488801
MID,CA,CSP,SOLAR,2040,6.24098097866805
MID,CA,CSP,SOLAR,2042,6.3960969367511735
MID,CA,CSP,SOLAR,2044,7.169044121618282
MID,CA,CSP,SOLAR,2046,7.169044121618282
MID,CA,CSP,SOLAR,2048,7.169044121618282
MID,CA,CSP,SOLAR,2050,7.169044121618282
MID,CA,Utility PV,SOLAR,2020,13.348714732795996
MID,CA,Utility PV,SOLAR,2022,13.479333428628115
MID,CA,Utility PV,SOLAR,2024,19.461765237008514
MID,CA,Utility PV,SOLAR,2026,26.97204456518015
MID,CA,Utility PV,SOLAR,2028,29.688785247809715
MID,CA,Utility PV,SOLAR,2030,30.75205608285026
MID,CA,Utility PV,SOLAR,2032,30.75205608285026
MID,CA,Utility PV,SOLAR,2034,30.75205608285026
MID,CA,Utility PV,SOLAR,2036,32.71337011304031
MID,CA,Utility PV,SOLAR,2038,36.086956374190876
MID,CA,Utility PV,SOLAR,2040,37.29672663743261
MID,CA,Utility PV,SOLAR,2042,45.50879974645742
MID,CA,Utility PV,SOLAR,2044,45.3063450469617
MID,CA,Utility PV,SOLAR,2046,47.62213232492998
MID,CA,Utility PV,SOLAR,2048,48.1601734915986
MID,CA,Utility PV,SOLAR,2050,49.09081153358808
MID,CA,Rooftop PV,SOLAR,2020,10.44035181818181
MID,CA,Rooftop PV,SOLAR,2022,10.662729090909083
MID,CA,Rooftop PV,SOLAR,2024,10.84885545454545
MID,CA,Rooftop PV,SOLAR,2026,11.108078181818179
MID,CA,Rooftop PV,SOLAR,2028,11.509308181818183
MID,CA,Rooftop PV,SOLAR,2030,11.946275454545447
MID,CA,Rooftop PV,SOLAR,2032,12.319575454545454
MID,CA,Rooftop PV,SOLAR,2034,12.608286363636363
MID,CA,Rooftop PV,SOLAR,2036,12.883800909090901
MID,CA,Rooftop PV,SOLAR,2038,13.154022727272725
MID,CA,Rooftop PV,SOLAR,2040,13.427104545454538
MID,CA,Rooftop PV,SOLAR,2042,13.684089090909088
MID,CA,Rooftop PV,SOLAR,2044,13.897375454545454
MID,CA,Rooftop PV,SOLAR,2046,14.063727272727265
MID,CA,Rooftop PV,SOLAR,2048,14.173570909090907
MID,CA,Rooftop PV,SOLAR,2050,14.234810909090909
MID,CA,Storage,BATT,2020,4.574066666599999
MID,CA,Storage,BATT,2022,4.9732333334
MID,CA,Storage,BATT,2024,5.414899999999999
MID,CA,Storage,BATT,2026,5.426561487852814
MID,CA,Storage,BATT,2028,5.446104042924904
MID,CA,Storage,BATT,2030,5.446104042924904
MID,CA,Storage,BATT,2032,5.488445226904712
MID,CA,Storage,BATT,2034,6.009363548843183
MID,CA,Storage,BATT,2036,7.700644136023857
MID,CA,Storage,BATT,2038,9.98875032481332
MID,CA,Storage,BATT,2040,11.33461442829029
MID,CA,Storage,BATT,2042,14.93367582688902
MID,CA,Storage,BATT,2044,17.086085055067276
MID,CA,Storage,BATT,2046,19.65823912729734
MID,CA,Storage,BATT,2048,20.024007679956924
MID,CA,Storage,BATT,2050,20.858578360605215
MID,WA,Land-based Wind,WIND,2020,3.3774003
MID,WA,Land-based Wind,WIND,2022,3.3774003
MID,WA,Land-based Wind,WIND,2024,3.3774003
MID,WA,Land-based Wind,WIND,2026,3.3774003
MID,WA,Land-based Wind,WIND,2028,3.3774003
MID,WA,Land-based Wind,WIND,2030,4.4562209
MID,WA,Land-based Wind,WIND,2032,5.200485101093092
MID,WA,Land-based Wind,WIND,2034,6.174761892251182
MID,WA,Land-based Wind,WIND,2036,6.934601211060562
MID,WA,Land-based Wind,WIND,2038,7.77548322851177
MID,WA,Land-based Wind,WIND,2040,8.53098787162807
MID,WA,Land-based Wind,WIND,2042,9.388650906293355
MID,WA,Land-based Wind,WIND,2044,13.433950038483811
MID,WA,Land-based Wind,WIND,2046,13.700750038483811
MID,WA,Land-based Wind,WIND,2048,13.70818706450753
MID,WA,Land-based Wind,WIND,2050,13.69344079917793
MID,WA,Offshore Wind,WIND,2020,0
MID,WA,Offshore Wind,WIND,2022,0
MID,WA,Offshore Wind,WIND,2024,0
MID,WA,Offshore Wind,WIND,2026,0
MID,WA,Offshore Wind,WIND,2028,0
MID,WA,Offshore Wind,WIND,2030,0
MID,WA,Offshore Wind,WIND,2032,0
MID,WA,Offshore Wind,WIND,2034,0
MID,WA,Offshore Wind,WIND,2036,0
MID,WA,Offshore Wind,WIND,2038,0
MID,WA,Offshore Wind,WIND,2040,0
MID,WA,Offshore Wind,WIND,2042,0
MID,WA,Offshore Wind,WIND,2044,0
MID,WA,Offshore Wind,WIND,2046,0
MID,WA,Offshore Wind,WIND,2048,0
MID,WA,Offshore Wind,WIND,2050,0
MID,WA,CSP,SOLAR,2020,0
MID,WA,CSP,SOLAR,2022,0
MID,WA,CSP,SOLAR,2024,0
MID,WA,CSP,SOLAR,2026,0
MID,WA,CSP,SOLAR,2028,0
MID,WA,CSP,SOLAR,2030,0
MID,WA,CSP,SOLAR,2032,0
MID,WA,CSP,SOLAR,2034,0
MID,WA,CSP,SOLAR,2036,0
MID,WA,CSP,SOLAR,2038,0
MID,WA,CSP,SOLAR,2040,0
