Scenario,State,Year,Capacity (GW)
MID,CA,2020,88.00412902
MID,CA,2022,87.94166611
MID,CA,2024,94.52011304
MID,CA,2026,103.2446306
MID,CA,2028,108.6661195
MID,CA,2030,112.9502179
MID,CA,2032,114.3443802
MID,CA,2034,117.3711134
MID,CA,2036,124.291567
MID,CA,2038,131.0624494
MID,CA,2040,137.0512912
MID,CA,2042,147.6630176
MID,CA,2044,155.540949
MID,CA,2046,162.4856784
MID,CA,2048,162.7333317
MID,CA,2050,165.8340735
MID,OR,2020,19.1333208
MID,OR,2022,19.63704366
MID,OR,2024,20.69654693
MID,OR,2026,20.75351511
MID,OR,2028,20.93736038
MID,OR,2030,21.11298404
MID,OR,2032,21.29837845
MID,OR,2034,21.11214254
MID,OR,2036,21.05971455
MID,OR,2038,20.71418908
MID,OR,2040,20.46366327
MID,OR,2042,19.87107749
MID,OR,2044,21.08273751
MID,OR,2046,22.05837798
MID,OR,2048,23.45991865
MID,OR,2050,25.94936731
MID,WA,2020,34.42745439
MID,WA,2022,34.34350631
MID,WA,2024,34.26975475
MID,WA,2026,35.49781449
MID,WA,2028,35.9370354
MID,WA,2030,41.84143859
MID,WA,2032,42.59301429
MID,WA,2034,43.37261362
MID,WA,2036,44.1809925
MID,WA,2038,45.08344436
MID,WA,2040,45.88434406
MID,WA,2042,46.84531514
MID,WA,2044,49.96792265
MID,WA,2046,51.83929565
MID,WA,2048,51.82702193
MID,WA,2050,53.18484639
MID,NV,2020,12.22286541
MID,NV,2022,13.9143568
MID,NV,2024,14.28948923
MID,NV,2026,15.44817839
MID,NV,2028,16.77296653
MID,NV,2030,18.11017057
MID,NV,2032,18.86082182
MID,NV,2034,19.61352501
MID,NV,2036,19.88156456
MID,NV,2038,20.35122548
MID,NV,2040,21.00968322
MID,NV,2042,20.87102995
MID,NV,2044,20.89635914
MID,NV,2046,21.54381669
MID,NV,2048,21.80591159
MID,NV,2050,22.20424783
MID,ID,2020,6.298951558
MID,ID,2022,6.422414743
MID,ID,2024,7.377519252
MID,ID,2026,7.881312169
MID,ID,2028,8.085732592
MID,ID,2030,8.107842992
MID,ID,2032,8.365482331
MID,ID,2034,9.063525323
MID,ID,2036,9.125670624
MID,ID,2038,9.368946853
MID,ID,2040,9.453311203
MID,ID,2042,9.724349226
MID,ID,2044,10.17057062
MID,ID,2046,10.17276145
MID,ID,2048,10.32893614
MID,ID,2050,12.84860097
EV,CA,2020,88.06804134
EV,CA,2022,88.24773689
EV,CA,2024,96.03135589
EV,CA,2026,105.0383427
EV,CA,2028,110.5759029
EV,CA,2030,115.6034893
EV,CA,2032,117.236455
EV,CA,2034,119.066364
EV,CA,2036,123.0739796
EV,CA,2038,128.2580635
EV,CA,2040,138.9327065
EV,CA,2042,149.437327
EV,CA,2044,158.2810267
EV,CA,2046,165.3441507
EV,CA,2048,165.6266737
EV,CA,2050,169.4741372
EV,OR,2020,19.13332035
EV,OR,2022,19.77978207
EV,OR,2024,20.67781535
EV,OR,2026,20.73478353
EV,OR,2028,20.9183821
EV,OR,2030,21.09400575
EV,OR,2032,21.24728076
EV,OR,2034,21.0674703
EV,OR,2036,21.05861916
EV,OR,2038,20.73762458
EV,OR,2040,20.55495964
EV,OR,2042,20.42711012
EV,OR,2044,20.50181783
EV,OR,2046,22.19908182
EV,OR,2048,23.5760593
EV,OR,2050,27.68326659
EV,WA,2020,34.42745439
EV,WA,2022,34.34350631
EV,WA,2024,34.26975475
EV,WA,2026,35.62424766
EV,WA,2028,35.97519635
EV,WA,2030,41.99358228
EV,WA,2032,42.6648684
EV,WA,2034,43.72938283
EV,WA,2036,44.62404587
EV,WA,2038,45.65468112
EV,WA,2040,46.51505075
EV,WA,2042,47.57732819
EV,WA,2044,50.7434899
EV,WA,2046,52.22279049
EV,WA,2048,52.48002929
EV,WA,2050,53.98053619
EV,NV,2020,12.22286541
EV,NV,2022,13.78925341
EV,NV,2024,14.24203341
EV,NV,2026,15.51515284
EV,NV,2028,16.84974585
EV,NV,2030,18.13101612
EV,NV,2032,19.10405686
EV,NV,2034,19.87817161
EV,NV,2036,20.15588707
EV,NV,2038,20.70270775
EV,NV,2040,21.01192743
EV,NV,2042,21.29727091
EV,NV,2044,21.41212872
EV,NV,2046,22.12316324
EV,NV,2048,22.42911927
EV,NV,2050,22.86300775
EV,ID,2020,6.224927636
EV,ID,2022,6.295048003
EV,ID,2024,7.446012448
EV,ID,2026,7.878112475
EV,ID,2028,8.205486757
EV,ID,2030,8.227524257
EV,ID,2032,8.283043801
EV,ID,2034,9.490292663
EV,ID,2036,9.442778645
EV,ID,2038,9.657032259
EV,ID,2040,9.812724462
EV,ID,2042,10.08405727
EV,ID,2044,10.3943588
EV,ID,2046,10.27816055
EV,ID,2048,10.67758329
EV,ID,2050,15.11774975
BAT,CA,2020,87.99494933
BAT,CA,2022,87.93092831
BAT,CA,2024,94.45976126
BAT,CA,2026,103.2927687
BAT,CA,2028,110.234981
BAT,CA,2030,114.6465683
BAT,CA,2032,119.2043499
BAT,CA,2034,124.3408518
BAT,CA,2036,135.2808076
BAT,CA,2038,144.1626238
BAT,CA,2040,154.5331258
BAT,CA,2042,158.4759048
BAT,CA,2044,169.9599686
BAT,CA,2046,174.4931274
BAT,CA,2048,170.7400719
BAT,CA,2050,181.0850687
BAT,OR,2020,19.13266821
BAT,OR,2022,19.63475336
BAT,OR,2024,20.72132963
BAT,OR,2026,20.85681854
BAT,OR,2028,20.92764229
BAT,OR,2030,21.11518147
BAT,OR,2032,21.24811165
BAT,OR,2034,20.99150438
BAT,OR,2036,20.88128074
BAT,OR,2038,20.61546648
BAT,OR,2040,20.3819741
BAT,OR,2042,20.53572352
BAT,OR,2044,21.78284636
BAT,OR,2046,22.15229102
BAT,OR,2048,21.97674076
BAT,OR,2050,23.35302437
BAT,WA,2020,34.42788161
BAT,WA,2022,34.34455353
BAT,WA,2024,34.27170469
BAT,WA,2026,35.35470182
BAT,WA,2028,35.32173743
BAT,WA,2030,41.2095727
BAT,WA,2032,41.86474622
BAT,WA,2034,42.80269512
BAT,WA,2036,43.61476324
BAT,WA,2038,44.46783975
BAT,WA,2040,45.30072914
BAT,WA,2042,46.24656266
BAT,WA,2044,49.72847549
BAT,WA,2046,51.67578151
BAT,WA,2048,51.62029718
BAT,WA,2050,52.75208374
BAT,NV,2020,12.22247007
BAT,NV,2022,13.91490044
BAT,NV,2024,14.27317746
BAT,NV,2026,15.33545526
BAT,NV,2028,16.78716458
BAT,NV,2030,18.23279986
BAT,NV,2032,18.37317067
BAT,NV,2034,18.60058236
BAT,NV,2036,18.7818808
BAT,NV,2038,19.01380893
BAT,NV,2040,19.30638001
BAT,NV,2042,20.08749673
BAT,NV,2044,20.03971393
BAT,NV,2046,22.4343388
BAT,NV,2048,22.65355844
BAT,NV,2050,22.80767879
BAT,ID,2020,6.298122606
BAT,ID,2022,6.420155959
BAT,ID,2024,7.390315117
BAT,ID,2026,7.955701851
BAT,ID,2028,8.056459385
BAT,ID,2030,8.078517058
BAT,ID,2032,8.087379785
BAT,ID,2034,8.349501039
BAT,ID,2036,8.424260244
BAT,ID,2038,8.69745811
BAT,ID,2040,8.501856192
BAT,ID,2042,8.062029669
BAT,ID,2044,9.403968218
BAT,ID,2046,9.968775786
BAT,ID,2048,10.30953182
BAT,ID,2050,12.19399233
LOWRECOST,CA,2020,88.72920064
LOWRECOST,CA,2022,90.81177831
LOWRECOST,CA,2024,100.4270074
LOWRECOST,CA,2026,104.5531296
LOWRECOST,CA,2028,109.1166356
LOWRECOST,CA,2030,112.2367193
LOWRECOST,CA,2032,114.4951577
LOWRECOST,CA,2034,117.4051035
LOWRECOST,CA,2036,118.5290273
LOWRECOST,CA,2038,120.2227507
LOWRECOST,CA,2040,123.3319334
LOWRECOST,CA,2042,131.3164551
LOWRECOST,CA,2044,134.489831
LOWRECOST,CA,2046,147.7549013
LOWRECOST,CA,2048,149.095461
LOWRECOST,CA,2050,156.2498332
LOWRECOST,OR,2020,19.15156175
LOWRECOST,OR,2022,19.33205994
LOWRECOST,OR,2024,20.47479258
LOWRECOST,OR,2026,20.65353953
LOWRECOST,OR,2028,21.17925839
LOWRECOST,OR,2030,21.35018748
LOWRECOST,OR,2032,21.50674956
LOWRECOST,OR,2034,21.78723796
LOWRECOST,OR,2036,21.918256
LOWRECOST,OR,2038,24.14792458
LOWRECOST,OR,2040,24.3071067
LOWRECOST,OR,2042,25.05229919
LOWRECOST,OR,2044,28.1911239
LOWRECOST,OR,2046,29.1461003
LOWRECOST,OR,2048,29.84939432
LOWRECOST,OR,2050,32.29765371
LOWRECOST,WA,2020,34.51761698
LOWRECOST,WA,2022,34.46216799
LOWRECOST,WA,2024,34.41552461
LOWRECOST,WA,2026,34.81990403
LOWRECOST,WA,2028,36.29603468
LOWRECOST,WA,2030,41.73857128
LOWRECOST,WA,2032,42.86114702
LOWRECOST,WA,2034,44.16966232
LOWRECOST,WA,2036,45.90578304
LOWRECOST,WA,2038,47.46973457
LOWRECOST,WA,2040,49.2527828
LOWRECOST,WA,2042,50.62399521
LOWRECOST,WA,2044,54.68313062
LOWRECOST,WA,2046,56.98739272
LOWRECOST,WA,2048,57.13713765
LOWRECOST,WA,2050,57.81927001
LOWRECOST,NV,2020,12.50772925
LOWRECOST,NV,2022,13.0123464
LOWRECOST,NV,2024,14.85804641
LOWRECOST,NV,2026,15.36875089
LOWRECOST,NV,2028,15.87501746
LOWRECOST,NV,2030,17.03850847
