Scenario,State,Year,Generation (TWh),Demand (MW)
MID,CA,2020,242.4879831,27681.27661
MID,CA,2022,222.2137449,25366.86586
MID,CA,2024,218.9761819,24997.28104
MID,CA,2026,225.6977287,25764.5809
MID,CA,2028,222.3374005,25380.98179
MID,CA,2030,223.6283797,25528.35385
MID,CA,2032,231.0037162,26370.28723
MID,CA,2034,252.8715592,28866.61635
MID,CA,2036,284.1456774,32436.72117
MID,CA,2038,290.7675598,33192.64381
MID,CA,2040,303.5318278,34649.75203
MID,CA,2042,314.4372593,35894.6643
MID,CA,2044,329.4693487,37610.65625
MID,CA,2046,344.3929609,39314.26494
MID,CA,2048,343.7725198,39243.43833
MID,CA,2050,356.3325418,40677.23079
MID,OR,2020,53.80677934,6142.326408
MID,OR,2022,62.57688274,7143.479765
MID,OR,2024,70.49090096,8046.906503
MID,OR,2026,68.03266101,7766.285503
MID,OR,2028,69.09143121,7887.149681
MID,OR,2030,66.43169218,7583.526505
MID,OR,2032,65.05668351,7426.562045
MID,OR,2034,62.84460906,7174.04213
MID,OR,2036,55.20269934,6301.678007
MID,OR,2038,55.07908878,6287.567213
MID,OR,2040,52.59208552,6003.662731
MID,OR,2042,50.2504455,5736.352226
MID,OR,2044,51.00190908,5822.13574
MID,OR,2046,52.94333653,6043.759878
MID,OR,2048,55.99099355,6391.665931
MID,OR,2050,64.68855643,7384.538406
MID,WA,2020,120.6806431,13776.32912
MID,WA,2022,123.9346077,14147.78626
MID,WA,2024,124.1734004,14175.04571
MID,WA,2026,131.9953189,15067.95878
MID,WA,2028,135.390239,15455.50673
MID,WA,2030,143.6003928,16392.7389
MID,WA,2032,144.2223113,16463.73417
MID,WA,2034,142.9042583,16313.2715
MID,WA,2036,141.4486263,16147.10346
MID,WA,2038,144.2888712,16471.33233
MID,WA,2040,147.1032646,16792.61012
MID,WA,2042,149.97907,17120.89841
MID,WA,2044,152.4697023,17405.21716
MID,WA,2046,155.2305055,17720.37734
MID,WA,2048,155.1143879,17707.1219
MID,WA,2050,157.6583615,17997.52986
MID,NV,2020,46.15340444,5268.653475
MID,NV,2022,58.72269064,6703.503498
MID,NV,2024,59.87112344,6834.603133
MID,NV,2026,62.90355394,7180.770998
MID,NV,2028,67.0221687,7650.9325
MID,NV,2030,68.79692074,7853.529765
MID,NV,2032,69.98384166,7989.023021
MID,NV,2034,67.9828976,7760.604748
MID,NV,2036,66.02622652,7537.24047
MID,NV,2038,65.14290919,7436.405159
MID,NV,2040,67.39173571,7693.120515
MID,NV,2042,67.73791486,7732.638683
MID,NV,2044,68.16413676,7781.29415
MID,NV,2046,67.85836819,7746.389062
MID,NV,2048,66.11301227,7547.14752
MID,NV,2050,63.17451919,7211.703104
MID,ID,2020,22.7672085,2598.996404
MID,ID,2022,23.24891827,2653.986103
MID,ID,2024,29.92419181,3416.003631
MID,ID,2026,32.57686538,3718.820249
MID,ID,2028,33.46234139,3819.901986
MID,ID,2030,32.06162799,3660.003195
MID,ID,2032,32.46391923,3705.926853
MID,ID,2034,34.01883331,3883.42846
MID,ID,2036,32.22965285,3679.184115
MID,ID,2038,33.13148416,3782.132895
MID,ID,2040,32.40269026,3698.937244
MID,ID,2042,33.24178697,3794.72454
MID,ID,2044,33.58670427,3834.098661
MID,ID,2046,34.78264923,3970.622058
MID,ID,2048,34.13737912,3896.961087
MID,ID,2050,38.61191445,4407.752791
EV,CA,2020,244.3276502,27891.28427
EV,CA,2022,220.2268767,25140.05442
EV,CA,2024,223.6227172,25527.70744
EV,CA,2026,229.8466235,26238.19903
EV,CA,2028,227.7659746,26000.68204
EV,CA,2030,230.6004828,26324.25603
EV,CA,2032,239.4751964,27337.35118
EV,CA,2034,248.5861133,28377.4102
EV,CA,2036,285.1332135,32549.4536
EV,CA,2038,303.086461,34598.91107
EV,CA,2040,316.8030206,36164.72838
EV,CA,2042,331.5566614,37848.93395
EV,CA,2044,349.5400704,39901.83452
EV,CA,2046,365.3203685,41703.23841
EV,CA,2048,369.0484113,42128.81408
EV,CA,2050,382.0043667,43607.80442
EV,OR,2020,54.0027106,6164.692991
EV,OR,2022,65.313971,7455.932763
EV,OR,2024,70.68361044,8068.905302
EV,OR,2026,68.06816896,7770.338923
EV,OR,2028,69.85235747,7974.01341
