,MID_2020,MID_2025,MID_2030,MID_2035,MID_2040,MID_2045,MID_2050,EV_2020,EV_2025,EV_2030,EV_2035,EV_2040,EV_2045,EV_2050,BAT_2020,BAT_2025,BAT_2030,BAT_2035,BAT_2040,BAT_2045,BAT_2050,LOWRECOST_2020,LOWRECOST_2025,LOWRECOST_2030,LOWRECOST_2035,LOWRECOST_2040,LOWRECOST_2045,LOWRECOST_2050,HIGHRECOST_2020,HIGHRECOST_2025,HIGHRECOST_2030,HIGHRECOST_2035,HIGHRECOST_2040,HIGHRECOST_2045,HIGHRECOST_2050
CAISO_wind_cap,5070.805444,6072.391158,10267.02843,10402.82039,12706.9564,14610.68234,15327.01506,5032.624771,6049.44006,10598.46761,10550.95863,10525.90776,14835.76187,16154.39296,5071.02991,6064.2879,10475.31778,9483.905591,11067.10236,13616.02823,14990.6237,5200.606212,5284.121169,6044.512521,5541.748011,6834.47358,7925.466648,11403.00444,4984.353778,6590.628785,7563.254299,13808.57352,16730.24445,21775.04809,21270.96785
CAISO_solar_cap,24101.6723,34676.34449,44305.20123,40884.57811,42997.91909,45577.06344,46003.37713,23888.2808,35609.30666,44398.40516,41721.312,43826.97277,44873.31668,44428.03664,24097.76905,34656.21987,44346.90772,44205.76997,48160.16099,49550.11405,48702.19023,25011.20578,37031.83133,49175.73454,53060.8793,60329.80308,64336.6362,66188.37242,23621.56243,33809.99912,44254.78986,41472.67211,44875.75874,46835.19803,46089.45356
CAISO_bat_cap,4274.04064,5524.240279,5518.047,5784.633539,8461.140226,12355.07757,13263.42232,4241.859215,5416.546048,5356.416753,5069.294903,7348.11253,10497.5534,11220.92703,4274.229837,5522.038442,6853.38633,12351.64301,16583.03731,18075.84425,20079.04723,4383.446092,5187.419656,5349.692961,4855.246742,4581.040319,7819.90556,10387.1066,4201.172939,6215.669602,6195.965008,8037.561697,14325.45614,15624.7842,14146.45763
PNW_wind_cap,13555.57527,11135.62778,12195.62236,15147.33218,16358.66198,22779.76998,23428.61771,13504.87863,11103.29395,12447.80249,15224.26296,16476.31761,22351.1104,23746.14268,13551.21228,11101.28424,12140.15657,14720.40575,16023.92255,22885.44723,23091.94394,13633.02319,14146.46256,15088.64831,17106.00776,20487.59063,27100.35198,31253.66658,13582.90833,10632.03295,11933.06287,14870.74274,15630.67402,18858.28238,19113.17528
PNW_solar_cap,496.2675469,452.4752991,616.7942349,935.6198672,1163.719952,1181.492835,811.3942638,494.4670016,451.7310726,606.933601,902.0811955,1100.252,1141.350843,770.1903518,495.7168544,447.137017,600.4631829,866.1286974,1134.973192,1106.120218,877.6805313,503.1024282,2329.165205,2771.204973,3233.506226,3154.582245,2715.982397,2423.940266,499.4601883,366.744752,395.0930239,458.1886333,517.226841,588.193567,349.9044669
PNW_bat_cap,413.7662174,386.9900966,337.5520056,752.2202675,861.9054713,2100.420197,3400.392905,410.869438,385.1655327,332.2184903,733.3657729,935.6356056,1846.273013,5513.535953,413.7458342,486.6359965,584.7853193,896.0951636,934.6309354,3212.165511,4645.750519,412.0851165,416.327768,402.1585262,967.9034116,4085.568036,7059.252642,7983.202086,413.396193,389.8447826,347.4612401,790.215994,806.8003288,1903.577636,4403.362037
bat_RoC_coeff,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
bat_RoD_coeff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
bat_eff,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gen. Cap.,47912.12742,58248.0691,73240.24525,73907.20435,82550.30312,98604.50636,102234.2194,47572.97986,59015.48333,73740.24411,74201.27546,80213.19828,95545.3662,101833.2256,47903.70376,58277.60347,75001.01691,82523.94819,93903.82734,108445.7195,112387.2362,49143.46882,64395.32768,78831.95183,84765.29146,99473.05788,116957.5954,129639.2924,47302.85385,58004.92,70689.6263,79437.95469,92886.16052,105585.0839,105373.3208
(Wind/Solar/Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
