name,zone,NOX lb/MWh,SO2 lb/MWh,CO2 lb/MWh,CH4 lb/MWh,N2O lb/MWh,CO2 equivalent lb/MWh
UNCHEM_1_UNIT,PGE_bay,0,1.174,1233.509,0.036,0.007,1236.433
CROKET_7_UNIT,PGE_bay,1.865,0.019,700.303,0.013,0.001,700.99
GATWAY_2_PL1X3,PGE_bay,0.056,0.004,870.843,0.016,0.002,871.672
METEC_2_PL1X3,PGE_bay,0.057,0.004,869.159,0.017,0.002,870.033
GILROY_1_UNIT,PGE_bay,0.132,0.004,808.04,0.016,0.002,808.868
TIDWTR_2_UNITS,PGE_bay,1.835,0.019,692.625,0.013,0.001,693.305
CONTAN_1_UNIT,PGE_bay,2.195,0.022,812.252,0.015,0.002,813.048
STOILS_1_UNITS,PGE_bay,1.263,0.016,602.278,0.011,0.001,602.868
DUANE_1_PL1X3,PGE_bay,0.054,0.005,944.667,0.017,0.002,945.551
LMEC_1_PL1X3,PGE_bay,0.106,0.004,797.989,0.015,0.001,798.75
SHELRF_1_UNITS,PGE_bay,1.783,0.02,721.533,0.014,0.001,722.24
RUSCTY_2_UNITS,PGE_bay,0.058,0.004,868.715,0.017,0.002,869.579
DELTA_2_PL1X4,PGE_bay,0.061,0.004,858.479,0.017,0.002,859.337
UNOCAL_1_UNITS,PGE_bay,0,0,627.499,0.012,0.001,628.113
SRINTL_6_UNIT,PGE_bay,1.85,0.019,698.109,0.013,0.001,698.794
STAUFF_1_UNIT,PGE_bay,0,0,0,0,0,0
KELSO_2_UNITS,PGE_bay,0.144,0.007,1282.088,0.024,0.002,1283.324
COCOPP_2_CTG1,PGE_bay,0.101,0.008,1529.452,0.028,0.003,1530.914
COCOPP_2_CTG2,PGE_bay,0.101,0.008,1529.452,0.028,0.003,1530.914
COCOPP_2_CTG3,PGE_bay,0.101,0.008,1529.452,0.028,0.003,1530.914
COCOPP_2_CTG4,PGE_bay,0.101,0.008,1529.452,0.028,0.003,1530.914
